season,week,celebrity_name,vote_share_est,std_dev,ci_width_95,judge_score,base_popularity,perf_share,is_eliminated
2,4,Master P,0.055478266886443695,0.024559230822392853,0.09361166970952962,8.0,0.07695521323942542,0.05063291139240506,True
2,5,Stacy Keibler,0.17799232202542506,0.05283118589108552,0.2048935127876857,30.0,0.17279940041384687,0.1986754966887417,False
2,5,Drew Lachey,0.24371584609839117,0.0599297128919972,0.23377997331556055,27.0,0.2585100627353645,0.17880794701986755,False
2,5,Lisa Rinna,0.10816147967257837,0.04375700755173957,0.1679784978223078,25.0,0.09324093335634576,0.16556291390728478,False
2,5,George Hamilton,0.10689691990145851,0.042779496786442606,0.16543693068017556,24.0,0.09257077589216851,0.15894039735099338,False
2,5,Jerry Rice,0.31588413584445885,0.06461248566507938,0.25149964243790446,23.0,0.3565803611144709,0.152317880794702,False
2,5,Tia Carrere,0.04734929645768466,0.027028526314488637,0.10165995644497863,22.0,0.026298466487803485,0.1456953642384106,True
2,6,Drew Lachey,0.2590512752521245,0.06006137868848956,0.2337893899027866,30.0,0.26549209777138183,0.22556390977443608,False
2,6,Stacy Keibler,0.19110858914774026,0.05445490221818188,0.21528083135811188,30.0,0.17746649714163398,0.22556390977443608,False
2,6,Lisa Rinna,0.12012635769976575,0.04531839187550664,0.1738966495156618,27.0,0.09575925491256077,0.20300751879699247,False
2,6,George Hamilton,0.10208131749517943,0.035857933365469524,0.13756626806120326,23.0,0.09507099732939772,0.17293233082706766,True
2,6,Jerry Rice,0.3276324604051907,0.0654030056769585,0.2540257214020419,23.0,0.3662111528450257,0.17293233082706766,False
2,7,Drew Lachey,0.2924681343757796,0.060657090967283646,0.23528888292423394,27.5,0.2933844500373716,0.2696078431372549,False
2,7,Stacy Keibler,0.21093872268187552,0.05716350007674167,0.2226853052812423,27.5,0.19611096187424606,0.2696078431372549,False
2,7,Lisa Rinna,0.13189344905580994,0.042948708185036204,0.1640895263845365,26.5,0.10581963295458385,0.25980392156862747,True
2,7,Jerry Rice,0.36469969388653806,0.0663754648828061,0.2558368545075942,20.5,0.4046849551337985,0.20098039215686275,False
2,8,Drew Lachey,0.32590852770456324,0.04127132011025088,0.15982811915618989,28.9998,0.3281043297861519,0.34387291318097685,False
2,8,Stacy Keibler,0.22082307683177527,0.044964055998078255,0.17166710606636174,28.6665,0.21931924374748143,0.33992071896021603,False
2,8,Jerry Rice,0.4532683954636595,0.05428461848175331,0.20971265636588798,26.666600000000003,0.4525764264663666,0.31620636785880724,False
3,1,Mario Lopez,0.22996839462818824,0.058869002354853914,0.22890955540912528,26.0,0.25617393371212016,0.12264150943396226,False
3,1,Emmitt Smith,0.3240277642229067,0.0655719074435138,0.2553458356048264,24.0,0.3764716112652029,0.11320754716981132,False
3,1,Vivica A. Fox,0.025099479573452863,0.021983718218615552,0.08118902646214904,22.0,0.005385781895088901,0.10377358490566038,False
3,1,Willa Ford,0.04904889679793243,0.030529362574621674,0.11525421306074943,22.0,0.035153574282379044,0.10377358490566038,False
3,1,Joey Lawrence,0.12272557121976786,0.04609682125625222,0.17800866030295967,21.0,0.12838159866355892,0.09905660377358491,False
3,1,Monique Coleman,0.08136483305079668,0.03859976654596822,0.1487865520033593,19.0,0.0782511124097295,0.08962264150943396,False
3,1,Shanna Moakler,0.01761723903480558,0.018579875746240225,0.06890581794685446,18.0,0.0005116329225425488,0.08490566037735849,False
3,1,Harry Hamlin,0.02425317739558835,0.02130477715063341,0.0794529511768678,17.0,0.009844922034288843,0.08018867924528301,False
3,1,Jerry Springer,0.06628294793281925,0.03451256071655621,0.13351682686205535,16.0,0.06347400645877246,0.07547169811320754,False
3,1,Sara Evans,0.05164505817090921,0.03070581304872539,0.11825920698339215,15.0,0.04626038795304356,0.07075471698113207,False
3,1,Tucker Carlson,0.007966637972834912,0.008506190865379728,0.02969992633681292,12.0,9.143840327314644e-05,0.05660377358490566,True
3,2,Joey Lawrence,0.12695094707744747,0.04671450528372603,0.18146465876370013,29.0,0.1283933387454447,0.12608695652173912,False
3,2,Monique Coleman,0.08480242176734827,0.039161886556643204,0.15099849363588677,26.0,0.07825826822081854,0.11304347826086956,False
3,2,Emmitt Smith,0.3216769506288296,0.06539785349024202,0.25321429904529724,24.0,0.37650603837617475,0.10434782608695652,False
3,2,Vivica A. Fox,0.02615568107843005,0.02167827579208241,0.08186244201197465,24.0,0.005386274407420307,0.10434782608695652,False
3,2,Willa Ford,0.0487822483171514,0.02947912189444319,0.1109464196290248,23.0,0.035156788963026035,0.1,False
3,2,Shanna Moakler,0.007103794034533722,0.006046202752507129,0.022155736194789017,22.0,0.0005116797097181928,0.09565217391304348,True
3,2,Harry Hamlin,0.03491058302911677,0.022398679051178032,0.08411617713449347,21.0,0.009845822320560747,0.09130434782608696,False
3,2,Mario Lopez,0.22232842315917717,0.057348457716996905,0.2233544688178279,21.0,0.25619735998964044,0.09130434782608696,False
3,2,Sara Evans,0.05685942698882599,0.03117768512068905,0.11899525043923104,21.0,0.04626461831587041,0.09130434782608696,False
3,2,Jerry Springer,0.07042952391913991,0.03395480730356132,0.12852464953139148,19.0,0.06347981095132593,0.08260869565217391,False
3,3,Monique Coleman,0.08877331800824323,0.040046462261662245,0.1541877580213056,27.0,0.07829833188855069,0.13043478260869565,False
3,3,Vivica A. Fox,0.03141795894020362,0.024177770754193032,0.09171440321461148,27.0,0.005389031865681,0.13043478260869565,False
3,3,Sara Evans,0.06203635965319572,0.033011644667391635,0.12662693069342137,25.0,0.04628830310136466,0.12077294685990338,False
3,3,Harry Hamlin,0.015793309004462346,0.010410625345763657,0.03856969457772477,22.0,0.0098508628071824,0.10628019323671498,True
3,3,Joey Lawrence,0.12383572846062622,0.045942803638559154,0.17666392924916655,22.0,0.12845906864439935,0.10628019323671498,False
3,3,Mario Lopez,0.226684792144964,0.05849394989322294,0.2285697347953924,22.0,0.2563285180913699,0.10628019323671498,False
3,3,Willa Ford,0.054983325280306174,0.02961911190267959,0.11394963318392773,22.0,0.03517478718792375,0.10628019323671498,False
3,3,Jerry Springer,0.07467207643309294,0.03502216284728396,0.13385959619686533,21.0,0.0635123089111131,0.10144927536231885,False
3,3,Emmitt Smith,0.3218031320749038,0.06479621536494383,0.2517181256342052,19.0,0.37669878750241514,0.09178743961352658,False
3,4,Mario Lopez,0.2342110740978847,0.058764360981232465,0.22578042790798575,29.0,0.2588786966154307,0.14646464646464646,False
3,4,Willa Ford,0.056989291730552095,0.031767783959970486,0.12248151804028044,28.0,0.03552473649338136,0.1414141414141414,False
3,4,Joey Lawrence,0.12967114280165318,0.04665202841284536,0.17884425305707985,27.0,0.12973709092813537,0.13636363636363635,False
3,4,Emmitt Smith,0.32606200018298576,0.06488773373054953,0.2523842886705815,24.0,0.3804465139164772,0.12121212121212122,False
3,4,Monique Coleman,0.08790040565048712,0.03893979755943902,0.14998651198369942,24.0,0.07907731163664408,0.12121212121212122,False
3,4,Vivica A. Fox,0.0156962226675667,0.011145211316192503,0.040841710630915504,24.0,0.005442646630950467,0.12121212121212122,True
3,4,Jerry Springer,0.07749011207351424,0.03439586373794209,0.13271655708134453,22.0,0.06414418447222762,0.1111111111111111,False
3,4,Sara Evans,0.07197975079535594,0.030078777056011936,0.11418570156219808,20.0,0.04674881930675325,0.10101010101010101,False
